_id,question,answer,incorrect1,incorrect2,incorrect3
43,on the fathers,"pitaresu, pitūsu",pitari,"pitarehi, pitūhi",pitarā
44,brother (nom-s),bhātā,bhātaro,bhātarā,"bhātarehi,bhātūhi"
45,O brother,"bhātā, bhāta",bhātaro,"bhātu, bhātuno",bhātarānaṃ
46,brother (acc-s),bhātaraṃ,bhātaro,bhātussa,bhātūnaṃ
47,by means of the brother,bhātarā,"bhātarehi,bhātūhi",bhātari,"bhātaresu,bhātūsu"
48,from the brother,bhātarā,"bhātarehi,bhātūhi",bhātā,bhātaro
49,for the brother,"bhātu, bhātuno",bhātarānaṃ,"bhātā, bhāta",bhātaro
50,of the brother,bhātussa,bhātūnaṃ,bhātaraṃ,bhātaro
51,on the brother,bhātari,"bhātaresu,bhātūsu",bhātarā,"bhātarehi,bhātūhi"
52,brothers (nom-p),bhātaro,bhātā,"bhātarehi,bhātūhi",bhātarā
53,O brothers,bhātaro,"bhātā, bhāta",bhātarānaṃ,"bhātu, bhātuno"
54,brothers (acc-p),bhātaro,bhātaraṃ,bhātūnaṃ,bhātussa
55,by means of the brothers,"bhātarehi,bhātūhi",bhātarā,"bhātaresu,bhātūsu",bhātari
56,from the brothers,"bhātarehi,bhātūhi",bhātarā,bhātaro,bhātā
57,for the brothers,bhātarānaṃ,"bhātu, bhātuno",bhātaro,"bhātā, bhāta"
58,of the brothers,bhātūnaṃ,bhātussa,bhātaro,bhātaraṃ
59,on the brothers,"bhātaresu,bhātūsu",bhātari,"bhātarehi,bhātūhi",bhātarā
60,mother (nom-s),mātā,mātaro,"mātarā, mātuyā","mātarehi, mātūhi"
61,O mother,"mātā, māta, māte",mātaro,"mātu, mātuyā, mātāya","mātarānaṃ, mātūnaṃ,mātānaṃ"
62,mother (acc-s),mātaraṃ,mātaro,"mātu, mātuyā, mātāya","mātarānaṃ, mātūnaṃ,mātānaṃ"
63,by means of the mother,"mātarā, mātuyā","mātarehi, mātūhi","mātari, mātuyā, mātuyaṃ","mātaresu, mātūsu"
64,from the mother,"mātarā, mātuyā","mātarehi, mātūhi",mātā,mātaro
65,for the mother,"mātu, mātuyā, mātāya","mātarānaṃ, mātūnaṃ,mātānaṃ","mātā, māta, māte",mātaro
66,of the mother,"mātu, mātuyā, mātāya","mātarānaṃ, mātūnaṃ,mātānaṃ",mātaraṃ,mātaro
67,on the mother,"mātari, mātuyā, mātuyaṃ","mātaresu, mātūsu","mātarā, mātuyā","mātarehi, mātūhi"
68,mothers (nom-p),mātaro,mātā,"mātarehi, mātūhi","mātarā, mātuyā"
69,O mothers,mātaro,"mātā, māta, māte","mātarānaṃ, mātūnaṃ,mātānaṃ","mātu, mātuyā, mātāya"
70,mothers (acc-p),mātaro,mātaraṃ,"mātarānaṃ, mātūnaṃ,mātānaṃ","mātu, mātuyā, mātāya"
71,by means of the mothers,"mātarehi, mātūhi","mātarā, mātuyā","mātaresu, mātūsu","mātari, mātuyā, mātuyaṃ"
72,from the mothers,"mātarehi, mātūhi","mātarā, mātuyā",mātaro,mātā
73,for the mothers,"mātarānaṃ, mātūnaṃ,mātānaṃ","mātu, mātuyā, mātāya",mātaro,"mātā, māta, māte"
74,of the mothers,"mātarānaṃ, mātūnaṃ,mātānaṃ","mātu, mātuyā, mātāya",mātaro,mātaraṃ
75,on the mothers,"mātaresu, mātūsu","mātari, mātuyā, mātuyaṃ","mātarehi, mātūhi","mātarā, mātuyā"
