_id,question,answer,incorrect1,incorrect2,incorrect3
109,Bhūpālo sopānasmā oruyha hasati.,"Having climbed down from the stairway, the king laughs.","Having climbed down from the stairway, the child laughs.","Having climbed down from the stairway, the washerman laughs.","Having climbed down from the stairway, the sailor laughs."
110,Manusso pāsāṇena sappaṃ paharitvā gehaṃ dhāvati.,Having hit the serpent with a stone the man runs into the house.,Having hit the serpent with a stone the boy runs into the house.,Having hit the serpent with a stone the washerman runs into the house.,Having hit the serpent with a stone the sailor runs into the house.
111,Kumāro araññaṃ gantvā rukkhaṃ āruyha phalāni khādati.,Having gone to the forest the boy climbs a tree and eats fruits.,Having gone to the forest the man climbs a tree and eats fruits.,Having gone to the forest the boy climbs a tree and eats rice.,Having gone to the forest the man climbs a tree and eats rice.
112,Varāho ajaṃ hantvā pāsāṇe nisīditvā khādati.,"The pig having killed a goat, eats having sat on a rock.","The lion having killed a goat, eats having sat on a rock.","The pig having killed a horse, eats having sat on a rock.","The lion having killed a horse, eats having sat on a rock."
113,Manusso rathamhā oruyha kassakehi saha bhāsati.,The man having got down from the chariot speaks with the farmers.,The king having got down from the chariot speaks with the farmers.,The man having got down from the chariot speaks with the washermen.,The king having got down from the chariot speaks with the washermen.
114,Bhūpālo gehaṃ pahāya vihāraṃ pavisati.,The king having given up his house enters the monastery.,The man having given up his house enters the monastery.,The king having given up his chariot enters the monastery.,The man having given up his chariot enters the monastery.
115,Samaṇā Buddhamhā pañhe pucchitvā pasīdanti.,"The monks, having asked questions from the Buddha, become glad.","The deities, having asked questions from the Buddha, become glad.","The fishermen, having asked questions from the Buddha, become glad.","The sailors, having asked questions from the Buddha, become glad."
116,Dārako ācariyassa pādaṃ ḍasitvā gehaṃ dhāvati.,"The child, having bitten the teacher's foot, runs into the house.","The dog, having bitten the teacher's foot, runs into the house.","The child, having bitten the washerman's foot, runs into the house.","The dog, having bitten the washerman's foot, runs into the house."
117,Sīho magge ajena saddhiṃ kīlitvā rukkhaṃ āruhati.,"The lion, having played with the goat on the road, climbs a tree.","The monkey, having played with the goat on the road, climbs a tree.","The lion, having played with the goat on the road, climbs a mountain.","The monkey, having played with the goat on the road, climbs a mountain."
118,Nāviko araññasmā āgamma sappurisamhā vatthaṃ labhati.,"The sailor, having come from the forest, receives a cloth from the good man.","The hermit, having come from the forest, receives a cloth from the good man.","The sailor, having come from the village, receives a cloth from the good man.","The hermit, having come from the village, receives a cloth from the good man."
119,Kukkuro udakaṃ pivitvā pattaṃ bhindati.,"Having drunk water, the dog breaks the bowl.","Having drunk water, the child breaks the bowl.","Having drunk water, the horse breaks the bowl.","Having drunk water, the pig breaks the bowl."
120,Devā kassakānaṃ putte ovaditvā āsanehi uṭṭhahitvā vihāraṃ gacchanti.,"Having advised the farmers' sons, and having risen from the seats, the deities go to the monastery.","Having advised the farmers' sons, and having risen from the seats, the monks go to the monastery.","Having advised the sailors' sons, and having risen from the seats, the deities go to the monastery.","Having advised the sailors' sons, and having risen from the seats, the monks go to the monastery."
121,Tāpaso samuddaṃ taritvā dīpaṃ gacchati.,"The hermit, having crossed the sea, goes to the island.","The sailor, having crossed the sea, goes to the island.","The hermit, having crossed the road, goes to the mountain.","The sailor, having crossed the road, goes to the mountain."
122,Kassako mātule pakkositvā gehamhi naccati.,The farmer calls the uncles and dances in the house.,The child calls the uncles and dances in the house.,The farmer calls the uncles and dances in the palace.,The child calls the uncles and dances in the palace.
123,Dārako vatthāni dhovitvā nahātvā udakasmā uttarati.,"Having washed clothes and bathed, the child gets out of the water. ","Having washed clothes and bathed, the farmer gets out of the water. ","Having washed clothes and bathed, the child gets out of the sea. ","Having washed clothes and bathed, the farmer gets out of the sea. "
