_id,question,answer,incorrect1,incorrect2,incorrect3
65,dhaññāni,corn (acc-pl),corn (nom-s),corn (gen-s),corn (abl-s)
66,bījāni,seed (acc-pl),seed (nom-s),seed (gen-s),seed (abl-s)
67,dussāni,cloth (acc-pl),cloth (nom-s),cloth (gen-s),cloth (abl-s)
68,cīvarāni,robe (nom-pl),robe (nom-s),robe (gen-s),robe (abl-s)
69,mūlāni,"root, money (nom-pl)","root, money (nom-s)","root, money (dat-s)","root, money (abl-pl)"
70,rukkhamūlāni,foot of a tree (nom-pl),foot of a tree (nom-s),foot of a tree (dat-s),foot of a tree (abl-pl)
71,tuṇḍāni,beak (nom-pl),beak (nom-s),beak (dat-s),beak (abl-pl)
72,vetanāni,"wage, pay (nom-pl)","wage, pay (nom-s)","wage, pay (dat-s)","wage, pay (abl-pl)"
73,padumāni,lotus (nom-pl),lotus (nom-s),lotus (dat-s),lotus (abl-pl)
74,gītāni,song (nom-pl),song (nom-s),song (dat-s),song (abl-pl)
75,suvaṇṇāni,gold (acc-pl),gold (nom-s),gold (dat-s),gold (abl-pl)
76,hiraññāni,gold (acc-pl),gold (nom-s),gold (dat-s),gold (abl-pl)
77,saccāni,truth (voc-pl),truth (nom-s),truth (dat-s),truth (abl-pl)
78,pānīyāni,drinking water (voc-pl),drinking water (nom-s),drinking water (dat-s),drinking water (abl-pl)
79,cittāni,mind (voc-pl),mind (nom-s),mind (dat-s),mind (abl-pl)
80,tvaṃ pakkosasi,you (s) call,he calls,they call,we call
