_id,question,answer,incorrect1,incorrect2,incorrect3
26,vāṇijo kassakena rukkhe chindāpetvā,the merchant got the farmer to cut the trees,the merchant got the farmers to cut the trees,the merchant got the farmer to drag the trees,the merchant got the farmers to drag the trees
27,samaṇo upāsake sannipātāpetvā ,the monk got the lay devotees assembled,the monks got the lay devotees assembled,the lay devotee got the monks assembled,the lay devotees got the monks assembled
28,mātulo kumārehi... ocināpesi,the uncle got the boys to pick...,the uncles got the boys to pick...,the uncle got the boy to pick...,the boys got the uncle to pick...
29,dārikā sunakhaṃ... otarāpesi,the girl made the dog descend...,the girl made the dog drag...,the girls made the dog drag...,the girl made the dog eat...
30,amacco vāṇije ca kassake ca pakkosāpetvā...,"the minister, having summoned the merchants and farmers...","the minister, having admonished the merchants and farmers...","the minister, having taught the merchants and farmers...","the minister, having killed the merchants and farmers..."
31,... vanitāyo āsiñcāpesuṃ,women got... to be sprinkled,women got... to be killed,women got... to be built,women got... to be eaten
32,bhariyāya kātabbaṃ... ahaṃ karomi,I do... which should be done by a wife,I do... which should be done by a son,I do... which should be done by a mother,I do... which should be done by a daughter
33,... mittena migaṃ vijjhitvā mārāpesi,... got the deer shot and killed by a friend,... got the deer shot and killed by a farmer,... got the jackal shot and killed by a friend,... got the jackal shot and killed by a farmer
34,... ācāriyena... dhammaṃ uggaṇhāpesi,... got a teacher to teach the dhamma...,... got a minister to teach the dhamma...,... got a monk to learn the dhamma...,... got a minister to learn the dhamma...
35,... dārikaṃ... mañce sayāpesi.,... got the girl to... sleep on the bed,... got the girls to... sleep on the bed,... got the daughter to... sleep on the bed,... got the daughters to... sleep on the bed
36,vāṇijā assehi bhaṇḍāni gāhāpetvā...,the merchants made the horses carry the goods...,the farmers made the horses carry the goods...,the merchants made the horses drag the goods...,the farmers made the horses drag the goods...
37,vanitā sahāyakena... ākaḍḍhāpetvā,the woman got a friend to drag...,the woman got a friend to carry...,the women got a friend to drag...,the women got a friend to carry...
38,ammā puttena... samaṇaṃ vandāpesi,the mother got (her) son to honour the monk...,the mother got (her) son to kill the monk...,the mother got (her) son to shoot the monk...,the mother got the monk son to teach (her) son...
39,upāsakā samaṇe... bhojāpesuṃ,the lay devotees got the monks... to eat,the lay devotees got the monks... to teach,the lay devotees got the monks... to sleep,the lay devotees got the monks... to descend
40,bhaginī... rodantī gehadvāre aṭṭhāsi,... the sister stood at the front door crying,... the girl stood at the front door eating,... the sisters stood at the front door eating,... the sisters stood at the front door crying
41,... nāriyo sallapantiyo... modiṃsu,women... enjoyed conversing...,women... enjoyed eating...,women... enjoyed sleeping...,women... enjoyed descending...
42,luddako... sarena vijjhi,"with an arrow, the hunter shot...","with an arrow, the hunter killed...","with an arrow, the warrior shot...","with an arrow, the warrior killed..."
43,sappurisena kārāpitesu vihāresu... vasanti ,... live in monasteries which good men got constructed,... live in a monastery which good men got constructed,... live in monasteries which lay disciples got constructed,... lives in a monastery which a lay disciple got constructed
