_id,question,answer,incorrect1,incorrect2,incorrect3
66,Udake carantānaṃ macchānaṃ samaṇā bhattaṃ dadanti.,Recluses give rice to fish moving in the water.,Boys give rice to fish moving in the water.,Recluses give leaves to fish moving in the water.,Boys give rice to pigs moving in the water.
67,Samuddaṃ tarituṃ āka'nkhamāno vejjo bhūpālamhā mūlaṃ yācati.,The doctor wishing to cross the sea asks for money from the king.,The sailor wishing to cross the sea asks for money from the king.,The doctor wishing to cross the sea asks for money from the minister.,The sailor wishing to cross the sea asks for money from the doctor.
68,Upāsakā samuddasmiṃ patantaṃ candassa ālokaṃ locanehi passanti.,Lay devotees see with their eyes the light of the moon falling on the sea.,Men see with their eyes the light of the moon falling on the sea.,Lay devotees see with their eyes the light of the sun falling on the sea.,Wicked men see with their eyes the light of the moon falling on the sea.
69,Manussā vihāramhi vasamānānaṃ samaṇānaṃ cīvare dātuṃ ussahanti.,Men try to give robes to monks living in the monastery.,Lay devotees try to give robes to monks living in the monastery.,Men try to give robes to monks living in the palace.,Lay devotees try to give robes to hermits living in the monastery.
70,Puññaṃ icchantā tāpasā samaṇānaṃ dānaṃ datvā sīlāni rakkhanti.,"Wishing for merit, hermits give alms to the monks and observe the precepts.","Wishing for merit, virtuous men give alms to the monks and observe the precepts.","Wishing for merit, hermits give gold to the monks and observe the precepts.","Wishing for merit, virtuous men give rice to the monks and observe the precepts."
71,Rukkhehi patamānesu paṇṇesu dhīvaro araññe carati.,The fisherman walks on the leaves falling from the trees in the forest.,The man walks on the leaves falling from the trees in the forest.,The hermit walks on the leaves falling from the trees in the forest.,The wicked man walks on the leaves falling from the trees in the forest.
72,Pupphāni pariyesantāya dārakāya kassako padumaṃ dadāti.,The farmer gives a lotus to the child searching for flowers.,The uncle gives a lotus to the child searching for flowers.,The farmer gives a lotus to the monk searching for flowers.,The diety gives a lotus to the child searching for flowers.
73,Yācakāya thokaṃ dhaññaṃ datvā naro gehaṃ pavisati.,Having given the beggar some corn the man enters the house.,Having given the beggar some corn the fisherman enters the house.,Having given the beggar some corn the man enters the village.,Having given the child some corn the fisherman enters the house.
74,Gāmaṃ upasa'nkamamānaṃ sigālaṃ disvā luddako pāsāṇena paharituṃ ussahati.,Seeing the jackal approaching the village the hunter tries to hit it with a stone.,Seeing the jackal approaching the village the farmer tries to hit it with a stone.,Seeing the jackal approaching the palace the hunter tries to hit it with a stone.,Seeing the bird approaching the village the farmer tries to hit it with a stone.
75,āpaṇaṃ,"shop, bazaar (nom-s)","root, money (nom-s)",gold (nom-s),truth (nom-s)
76,puññaṃ,merit (nom-s),foot of a tree (nom-s),gold (nom-s),drinking water (nom-s)
77,pāpaṃ,"evil, sin (nom-s)",beak (nom-s),truth (nom-s),mind (nom-s)
78,kammaṃ,"deed, action (nom-s)","wage, pay (nom-s)",drinking water (nom-s),gold (nom-s)
79,kusalaṃ,good (nom-s),lotus (nom-s),mind (nom-s),gold (nom-s)
80,akusalaṃ,evil (nom-s),song (nom-s),"root, money (nom-s)","wage, pay (nom-s)"
81,dhanaṃ,wealth (nom-s),gold (nom-s),foot of a tree (nom-s),lotus (nom-s)
82,dhaññaṃ,corn (nom-s),gold (nom-s),beak (nom-s),song (nom-s)
83,bījaṃ,seed (nom-s),truth (nom-s),"wage, pay (nom-s)","root, money (nom-s)"
84,dussaṃ,cloth (nom-s),drinking water (nom-s),lotus (nom-s),foot of a tree (nom-s)
85,cīvaraṃ,robe (nom-s),mind (nom-s),song (nom-s),beak (nom-s)
86,mūlaṃ,"root, money (nom-s)","shop, bazaar (nom-s)",evil (nom-s),seed (nom-s)
87,rukkhamūlaṃ,foot of a tree (nom-s),merit (nom-s),wealth (nom-s),cloth (nom-s)
88,tuṇḍaṃ,beak (nom-s),"evil, sin (nom-s)",corn (nom-s),robe (nom-s)
89,vetanaṃ,"wage, pay (nom-s)","deed, action (nom-s)",seed (nom-s),evil (nom-s)
90,padumaṃ,lotus (nom-s),good (nom-s),cloth (nom-s),wealth (nom-s)
91,gītaṃ,song (nom-s),evil (nom-s),robe (nom-s),corn (nom-s)
92,suvaṇṇaṃ,gold (nom-s),wealth (nom-s),"shop, bazaar (nom-s)","evil, sin (nom-s)"
93,hiraññaṃ,gold (nom-s),corn (nom-s),merit (nom-s),"deed, action (nom-s)"
94,saccaṃ,truth (nom-s),seed (nom-s),"evil, sin (nom-s)",good (nom-s)
95,pānīyaṃ,drinking water (nom-s),cloth (nom-s),"deed, action (nom-s)","shop, bazaar (nom-s)"
96,cittaṃ,mind (nom-s),robe (nom-s),good (nom-s),merit (nom-s)
