_id,question,answer,incorrect1,incorrect2,incorrect3
49,Rukkhehi patamānesu paṇṇesu dhīvaro araññe carati.,The fisherman walks on the leaves falling from the trees in the forest.,The man walks on the leaves falling from the trees in the forest.,The hermit walks on the leaves falling from the trees in the forest.,The wicked man walks on the leaves falling from the trees in the forest.
50,Pupphāni pariyesantāya dārakāya kassako padumaṃ dadāti.,The farmer gives a lotus to the child searching for flowers.,The uncle gives a lotus to the child searching for flowers.,The farmer gives a lotus to the monk searching for flowers.,The diety gives a lotus to the child searching for flowers.
51,Yācakāya thokaṃ dhaññaṃ datvā naro gehaṃ pavisati.,Having given the beggar some corn the man enters the house.,Having given the beggar some corn the fisherman enters the house.,Having given the beggar some corn the man enters the village.,Having given the child some corn the fisherman enters the house.
52,Gāmaṃ upasa'nkamamānaṃ sigālaṃ disvā luddako pāsāṇena paharituṃ ussahati.,Seeing the jackal approaching the village the hunter tries to hit it with a stone.,Seeing the jackal approaching the village the farmer tries to hit it with a stone.,Seeing the jackal approaching the palace the hunter tries to hit it with a stone.,Seeing the bird approaching the village the farmer tries to hit it with a stone.
53,āpaṇaṃ,"shop, bazaar (nom-s)","root, money (nom-s)",gold (nom-s),truth (nom-s)
54,puññaṃ,merit (nom-s),foot of a tree (nom-s),gold (nom-s),drinking water (nom-s)
55,pāpaṃ,"evil, sin (nom-s)",beak (nom-s),truth (nom-s),mind (nom-s)
56,kammaṃ,"deed, action (nom-s)","wage, pay (nom-s)",drinking water (nom-s),gold (nom-s)
57,kusalaṃ,good (nom-s),lotus (nom-s),mind (nom-s),gold (nom-s)
58,akusalaṃ,evil (nom-s),song (nom-s),"root, money (nom-s)","wage, pay (nom-s)"
59,dhanaṃ,wealth (nom-s),gold (nom-s),foot of a tree (nom-s),lotus (nom-s)
60,dhaññaṃ,corn (nom-s),gold (nom-s),beak (nom-s),song (nom-s)
61,bījaṃ,seed (nom-s),truth (nom-s),"wage, pay (nom-s)","root, money (nom-s)"
62,dussaṃ,cloth (nom-s),drinking water (nom-s),lotus (nom-s),foot of a tree (nom-s)
63,cīvaraṃ,robe (nom-s),mind (nom-s),song (nom-s),beak (nom-s)
64,mūlaṃ,"root, money (nom-s)","shop, bazaar (nom-s)",evil (nom-s),seed (nom-s)
65,rukkhamūlaṃ,foot of a tree (nom-s),merit (nom-s),wealth (nom-s),cloth (nom-s)
66,tuṇḍaṃ,beak (nom-s),"evil, sin (nom-s)",corn (nom-s),robe (nom-s)
67,vetanaṃ,"wage, pay (nom-s)","deed, action (nom-s)",seed (nom-s),evil (nom-s)
68,padumaṃ,lotus (nom-s),good (nom-s),cloth (nom-s),wealth (nom-s)
69,gītaṃ,song (nom-s),evil (nom-s),robe (nom-s),corn (nom-s)
70,suvaṇṇaṃ,gold (nom-s),wealth (nom-s),"shop, bazaar (nom-s)","evil, sin (nom-s)"
71,hiraññaṃ,gold (nom-s),corn (nom-s),merit (nom-s),"deed, action (nom-s)"
72,saccaṃ,truth (nom-s),seed (nom-s),"evil, sin (nom-s)",good (nom-s)
73,pānīyaṃ,drinking water (nom-s),cloth (nom-s),"deed, action (nom-s)","shop, bazaar (nom-s)"
74,cittaṃ,mind (nom-s),robe (nom-s),good (nom-s),merit (nom-s)
