_id,question,answer,incorrect1,incorrect2,incorrect3
35,from the tusker,dāṭhinā / dāṭhimhā / dāṭhismā,dāṭhīhi (dāṭhībhi),dāṭhī,dāṭhī / dāṭhino
36,for the tusker,dāṭhino / dāṭhissa,dāṭhīnaṃ,dāṭhī,dāṭhī / dāṭhino
37,of the tusker,dāṭhino / dāṭhissa,dāṭhīnaṃ,dāṭhinaṃ / dāṭhiṃ,dāṭhī / dāṭhino
38,on the tusker,dāṭhini / dāṭhimhi / dāṭhismiṃ,dāṭhīsu,dāṭhinā,dāṭhīhi (dāṭhībhi)
39,tuskers (nom-p),dāṭhī / dāṭhino,dāṭhī,dāṭhīhi (dāṭhībhi),dāṭhinā / dāṭhimhā / dāṭhismā
40,O tuskers,dāṭhī / dāṭhino,dāṭhī,dāṭhīnaṃ,dāṭhino / dāṭhissa
41,tuskers (acc-p),dāṭhī / dāṭhino,dāṭhinaṃ / dāṭhiṃ,dāṭhīnaṃ,dāṭhino / dāṭhissa
42,by means of the tuskers,dāṭhīhi (dāṭhībhi),dāṭhinā,dāṭhīsu,dāṭhini / dāṭhimhi / dāṭhismiṃ
43,from the tuskers,dāṭhīhi (dāṭhībhi),dāṭhinā / dāṭhimhā / dāṭhismā,dāṭhī / dāṭhino,dāṭhī
44,for the tuskers,dāṭhīnaṃ,dāṭhino / dāṭhissa,dāṭhī / dāṭhino,dāṭhī
45,of the tuskers,dāṭhīnaṃ,dāṭhino / dāṭhissa,dāṭhī / dāṭhino,dāṭhinaṃ / dāṭhiṃ
46,on the tuskers,dāṭhīsu,dāṭhini / dāṭhimhi / dāṭhismiṃ,dāṭhīhi (dāṭhībhi),dāṭhinā
47,evil doer (nom-s),pāpakārī,pāpakārī / pāpakārino,pāpakārinā / pāpakārimhā / pāpakārismā,pāpakārīhi (pāpakārībhi)
48,O evil doer,pāpakārī,pāpakārī / pāpakārino,pāpakārino / pāpakārissa,pāpakārīnaṃ
49,evil doer (acc-s),pāpakārinaṃ / pāpakāriṃ,pāpakārī / pāpakārino,pāpakārino / pāpakārissa,pāpakārīnaṃ
50,by means of the evil doer,pāpakārinā,pāpakārīhi (pāpakārībhi),pāpakārini / pāpakārimhi / pāpakārismiṃ,pāpakārīsu
51,from the evil doer,pāpakārinā / pāpakārimhā / pāpakārismā,pāpakārīhi (pāpakārībhi),pāpakārī,pāpakārī / pāpakārino
52,for the evil doer,pāpakārino / pāpakārissa,pāpakārīnaṃ,pāpakārī,pāpakārī / pāpakārino
53,of the evil doer,pāpakārino / pāpakārissa,pāpakārīnaṃ,pāpakārinaṃ / pāpakāriṃ,pāpakārī / pāpakārino
54,on the evil doer,pāpakārini / pāpakārimhi / pāpakārismiṃ,pāpakārīsu,pāpakārinā,pāpakārīhi (pāpakārībhi)
55,evil doers (nom-p),pāpakārī / pāpakārino,pāpakārī,pāpakārīhi (pāpakārībhi),pāpakārinā / pāpakārimhā / pāpakārismā
56,O evil doers,pāpakārī / pāpakārino,pāpakārī,pāpakārīnaṃ,pāpakārino / pāpakārissa
57,evil doers (acc-p),pāpakārī / pāpakārino,pāpakārinaṃ / pāpakāriṃ,pāpakārīnaṃ,pāpakārino / pāpakārissa
58,by means of the evil doers,pāpakārīhi (pāpakārībhi),pāpakārinā,pāpakārīsu,pāpakārini / pāpakārimhi / pāpakārismiṃ
59,from the evil doers,pāpakārīhi (pāpakārībhi),pāpakārinā / pāpakārimhā / pāpakārismā,pāpakārī / pāpakārino,pāpakārī
60,for the evil doers,pāpakārīnaṃ,pāpakārino / pāpakārissa,pāpakārī / pāpakārino,pāpakārī
61,of the evil doers,pāpakārīnaṃ,pāpakārino / pāpakārissa,pāpakārī / pāpakārino,pāpakārinaṃ / pāpakāriṃ
62,on the evil doers,pāpakārīsu,pāpakārini / pāpakārimhi / pāpakārismiṃ,pāpakārīhi (pāpakārībhi),pāpakārinā
