_id,question,answer,incorrect1,incorrect2,incorrect3
37,ahaṃ dussaṃ ādadeyyāmi,I would take the cloth,I give the cloth,I give the rice,I will give the rice
38,manteyyāma amaccā na āgaccheyyuṃ,the ministers would not come,the ministers will not come,the ministers will come,the thief comes
39,dārakā phalāni bhuñjeyyuṃ,the children would enjoy the fruits,the children would enjoy the rice,the children would enjoy the monkeys,the children would enjoy the pigs
40,puttā pi sappurisā bhaveyyuṃ,sons would become good men too,sons would become evil men too,sons would become gods too,wise men become gods too
41,mayaṃ bhūpālesu pasīdeyyāma,we would be pleased with them,he would be pleased with them,they would be pleased with them,they would be pleased with me
42,vāṇijo taṃ kiṇeyya,the merchant would buy it ,the merchant would buy them,the fisherman would buy it ,the fishermen would buy it 
43,ahaṃ te ovadeyyāmi,I would admonish them ,they would admonish me,they would admonish them,they would climb it
44,manussā pāpaṃ na kareyyuṃ,the people would not commit evil,the people would commit evil,the people would buy oxen,the people would avoid jackals
45,āhiṇḍante mige ca rukkhesu carante makkaṭe ca uḍḍente sakuṇe ca passeyyātha,"you would see deer roaming, monkeys moving on the trees and birds flying","you would see oxen roaming, monkeys moving on the trees and birds flying","you would see monkeys roaming, birds moving in the trees and flying","he would see monkeys roaming, birds moving in the trees and flying"
46,pipāsito (thirsty) so piveyya,he who is thirsty would drink ,that which is thirsty will drink ,the thirsty men will drink ,the thirsty sons will drink 
47,tumhe manussaloke uppajituṃ ussaheyyātha,you should try to be born in the human world,we should try to be born in the human world,they should try to be born in the human world,they will be born in the human world
48,ahaṃ taṃ (him) rodantaṃ dārakaṃ passituṃ āneyyāmi,I will bring him to see the crying child,I will bring them to see the crying child,he will bring me to see the crying child,he will bring me to see the crying men
49,ahaṃ taṃ (him) ovadeyyāmi,I would admonish him,he would admonish me,they would admonish me,they would rule me
50,mayaṃ dhammaṃ uggaṇheyyāma,we would learn the doctrine,they will learn the doctrine,we will learn the doctrine,we will sing the songs
51,so gehā uppateyya,it might fly out of the house ,it might fly out of the forest ,they might fly out of the forest ,it might fly out of the trees
52,ahaṃ taṃ (him) āneyyāmi,I will bring him,I will bring them,he will bring me,he will avoid me
53,tvaṃ suṇeyyāsi,you would hear,I would hear,I would learn,it would enjoy
54,te uggaṇheyyuṃ,they would learn,we would learn,it would sow,we would become
55,tvaṃ pahiṇeyyāsi,you would send,I would send,we would offer ,we would be pleased
56,tumhe ocineyyātha,you would pick,I would pick,we would take,he would buy
57,tvaṃ gaṇheyyāsi,you would take,I would take,it would enjoy,we would admonish
58,tumhe ropeyyātha,you would plant,I would plant,we would become,I would learn
59,kassako vikkiṇeyya,the farmer would sell,the merchant would sell,the sailor would be pleased,the farmers would sow
60,tvaṃ āneyyāsi,you would bring,I would bring,he would buy,we would offer 
61,tvaṃ bhaveyyāsi,you would become,I would become,we would admonish,we would take
62,ahaṃ uggaṇheyyāmi,I would learn,she would learn,I would buy,sons would take
63,kassako vapeyya,the farmer would sow,the merchant would sow,the sailor would go,farmers would plant
64,kumārā pūjeyyuṃ,the boys would offer ,the men would offer ,we would learn,the wise men would sell
65,ahaṃ ādadeyyāmi,I would take,we would take,I would send,I would bring
66,dārakā bhuñjeyyuṃ,the children would enjoy,the sons would enjoy,the children would pick,the children would become
67,puttā bhaveyyuṃ,sons would become,children would become,sons would take,children would learn
68,mayaṃ pasīdeyyāma,we would be pleased,I would be pleased,I would plant,he would go
69,vāṇijo kiṇeyya,the merchant would buy,the farmer would buy,the merchant would sell,the king would learn
70,ahaṃ ovadeyyāmi,I would admonish,we would admonish,I would bring,I would send
71,mayaṃ uggaṇheyyāma,we would learn,I would learn,I would become,they would pick
