_id,question,answer,incorrect1,incorrect2,incorrect3
52,Farmers go to the monastery.,Kassakā vihāraṃ gacchanti. ,Naro vihāraṃ gacchanti. ,Narā vihāraṃ gacchati. ,Kassako vihāraṃ gacchati. 
53,Men climb mountains.,Narā pabbate āruhanti. ,Kassako pabbate āruhanti. ,Kassakā pabbate āruhati. ,Naro pabbate āruhati. 
54,The Buddha eats rice.,Buddho odanaṃ bhuñjati. ,Brāhmaṇā odanaṃ bhuñjati. ,Buddho odanaṃ bhuñjanti. ,Brāhmaṇā odanaṃ bhuñjanti. 
55,The brahmin sees the boys.,Brāhmaṇo kumāre passati. ,Buddhā kumāre passati. ,Brāhmaṇo kumāre passanti. ,Buddhā kumāre passanti. 
56,Friends take away bowls.,Mittā patte haranti. ,Mātulo patte haranti. ,Mittā patte harati. ,Mātulo patte harati. 
57,The king protects the dog.,Bhūpālo kukkuraṃ rakkhati. ,Puttā kukkuraṃ rakkhati. ,Bhūpālo kukkuraṃ rakkhanti. ,Puttā kukkuraṃ rakkhanti. 
58,The son worships the Buddha.,Putto Buddhaṃ vandati. ,Bhūpālā Buddhaṃ vandati. ,Putto Buddhaṃ vandanti. ,Bhūpālā Buddhaṃ vandanti. 
59,The boys bring a boy.,Kumārā kumāraṃ āharanti. ,Vāṇijā kumāraṃ āharati. ,Kumārā kumāraṃ āharati. ,Vāṇijā kumāraṃ āharanti. 
60,Uncles salute the brahmin.,Mātulā brāhmaṇaṃ vandanti. ,Mittā brāhmaṇaṃ vandanti. ,Mātulā brāhmaṇaṃ vandati. ,Mittā brāhmaṇaṃ vandati. 
61,Merchants beg for rice.,Vāṇijā odanaṃ yācanti. ,Yācako odanaṃ yācanti. ,Vāṇijā odanaṃ yācati. ,Yācako odanaṃ yācati. 
62,Beggars shoot jackals.,Yācakā sigāle vijjhanti. ,Vāṇijo sigāle vijjhanti. ,Yācakā sigāle vijjhati. ,Vāṇijo sigāle vijjhati. 
63,Merchants climb the mountain.,Vāṇijā pabbataṃ āruhanti. ,Kumāro pabbataṃ āruhanti. ,Vāṇijā pabbataṃ āruhati. ,Kumāro pabbataṃ āruhati. 
64,The merchant runs to the village.,Vāṇijo  gāmaṃ dhāvati. ,Kassakā gāmaṃ dhāvati. ,Vāṇijo  gāmaṃ dhāvanti. ,Kassakā gāmaṃ dhāvanti. 
65,The farmer cooks rice.,Kassako bhattaṃ pacati. ,Vāṇijā bhattaṃ pacati. ,Kassako bhattaṃ pacanti. ,Vāṇijā bhattaṃ pacanti. 
66,Kings worship the uncle.,Bhūpālā mātulaṃ vandanti. ,Putto mātulaṃ vandanti. ,Bhūpālā mātulaṃ vandati. ,Putto mātulaṃ vandati. 
67,The sons protect men.,Puttā nare rakkhanti. ,Bhūpālo nare rakkhanti. ,Puttā nare rakkhati. ,Bhūpālo nare rakkhati. 
68,The men come to the monastery.,Narā vihāraṃ āgacchanti. ,Buddhā vihāraṃ āgacchati. ,Narā vihāraṃ āgacchati. ,Buddhā vihāraṃ āgacchanti. 
69,The Buddha descends.,Buddho oruhati. ,Naro oruhanti. ,Buddho oruhanti. ,Naro oruhati. 
70,Boys dig pits.,Kumārā āvāṭe khaṇanti. ,Kassako āvāṭe khaṇanti. ,Kumārā āvāṭe khaṇati. ,Kassako āvāṭe khaṇati. 
71,The dog runs.,Kukkuro dhāvati. ,Vāṇijā dhāvati. ,Kukkuro dhāvanti. ,Vāṇijā dhāvanti. 
72,The merchant sees the moon.,Vāṇijo candaṃ passati. ,Kukkurā candaṃ passati. ,Vāṇijo candaṃ passanti. ,Kukkurā candaṃ passanti. 
73,Farmers climb trees.,Kassakā rukkhe āruhanti. ,Kumāro rukkhe āruhanti. ,Kassakā rukkhe āruhati. ,Kumāro rukkhe āruhati. 
74,The brahmin brings the rice.,Brāhmaṇo bhattaṃ āharati. ,Brāhmaṇā pattaṃ āharati. ,Brāhmaṇo bhattaṃ āharanti. ,Brāhmaṇā pattaṃ āharanti. 
75,The king sleeps.,Bhūpālo sayati. ,Yācakā sayati. ,Bhūpālo sayanti. ,Yācakā sayanti. 
76,The beggar sees the Buddha.,Yācako Buddhaṃ passati. ,Bhūpālā Buddhaṃ passati. ,Yācako Buddhaṃ passanti. ,Bhūpālā Buddhaṃ passanti. 
77,dhammo,"the doctrine, truth (nom-s)","the doctrines, truth (nom-p)","the doctrine, truth (acc-s)","doctrines, truths (acc-p)"
78,bhatto,rice (nom-s),rice (nom-p),rice (acc-s),rice (acc-p)
79,odano,cooked rice (nom-s),cooked rice (nom-p),cooked rice (acc-s),cooked rice (acc-p)
80,gāmo,village (nom-s),villages (nom-p),village (acc-s),villages (acc-p)
81,suriyo,sun (nom-s),suns (nom-p),sun (acc-s),suns (acc-p)
82,cando,moon (nom-s),moons (nom-p),moon (acc-s),moons (acc-p)
83,kukkuro,dog (nom-s),dogs (nom-p),dog (acc-s),dogs (acc-p)
84,sunakho,dog (nom-s),dogs (nom-p),dog (acc-s),dogs (acc-p)
85,soṇo,dog (nom-s),dogs (nom-p),dog (acc-s),dogs (acc-p)
86,vihāro,monastery (nom-s),monasteries (nom-p),monastery (acc-s),monasteries (acc-p)
87,patto,bowl (nom-s),bowls (nom-p),bowl (acc-s),bowls (acc-p)
88,āvāṭo,pit (nom-s),pits (nom-p),pit (acc-s),pits (acc-p)
89,pabbato,mountain (nom-s),mountains (nom-p),mountain (acc-s),mountains (acc-p)
90,yācako,beggar (nom-s),beggars (nom-p),beggar (acc-s),beggars (acc-p)
91,sigālo,jackal (nom-s),jackals (nom-p),jackal (acc-s),jackals (acc-p)
92,rukkho,tree (nom-s),trees (nom-p),tree (acc-s),trees (acc-p)
93,dhammaṃ,"the doctrine, truth (acc-s)","doctrines, truths (nom-p)","the doctrine, truth (nom-s)","doctrines, truths (acc-p)"
94,bhattaṃ,rice (acc-s),rice (nom-p),rice (nom-s),rice (acc-p)
95,odanaṃ,cooked rice (acc-s),cooked rice (nom-p),cooked rice (nom-s),cooked rice (acc-p)
96,gāmaṃ,village (acc-s),villages (nom-p),village (nom-s),villages (acc-p)
97,suriyaṃ,sun (acc-s),suns (nom-p),sun (nom-s),suns (acc-p)
98,candaṃ,moon (acc-s),moons (nom-p),moon (nom-s),moons (acc-p)
99,kukkuraṃ,dog (acc-s),dogs (nom-p),dog (nom-s),dogs (acc-p)
100,sunakhaṃ,dog (acc-s),dogs (nom-p),dog (nom-s),dogs (acc-p)
101,soṇaṃ,dog (acc-s),dogs (nom-p),dog (nom-s),dogs (acc-p)
102,vihāraṃ,monastery (acc-s),monasteries (nom-p),monastery (nom-s),monasteries (acc-p)
103,pattaṃ,bowl (acc-s),bowls (nom-p),bowl (nom-s),bowls (acc-p)
104,āvāṭaṃ,pit (acc-s),pits (nom-p),pit (nom-s),pits (acc-p)
105,pabbataṃ,mountain (acc-s),mountains (nom-p),mountain (nom-s),mountains (acc-p)
106,yācakaṃ,beggar (acc-s),beggars (nom-p),beggar (nom-s),beggars (acc-p)
107,sigālaṃ,jackal (acc-s),jackals (nom-p),jackal (nom-s),jackals (acc-p)
108,rukkhaṃ,tree (acc-s),trees (nom-p),tree (nom-s),trees (acc-p)
109,dhammā,"doctrines, truths (nom-p)","the doctrine, truth (nom-s)","the doctrine, truth (acc-s)","doctrines, truths (acc-p)"
110,bhattā,rice (nom-p),rice (nom-s),rice (acc-s),rice (acc-p)
111,odanā,cooked rice (nom-p),cooked rice (nom-s),cooked rice (acc-s),cooked rice (acc-p)
112,gāmā,villages (nom-p),village (nom-s),village (acc-s),villages (acc-p)
113,suriyā,suns (nom-p),sun (nom-s),sun (acc-s),suns (acc-p)
114,candā,moons (nom-p),moon (nom-s),moon (acc-s),moons (acc-p)
115,kukkurā,dogs (nom-p),dog (nom-s),dog (acc-s),dogs (acc-p)
116,sunakhā,dogs (nom-p),dog (nom-s),dog (acc-s),dogs (acc-p)
117,soṇā,dogs (nom-p),dog (nom-s),dog (acc-s),dogs (acc-p)
118,vihārā,monasteries (nom-p),monastery (nom-s),monastery (acc-s),monasteries (acc-p)
119,pattā,bowls (nom-p),bowl (nom-s),bowl (acc-s),bowls (acc-p)
120,āvāṭā,pits (nom-p),pit (nom-s),pit (acc-s),pits (acc-p)
121,pabbatā,mountains (nom-p),mountain (nom-s),mountain (acc-s),mountains (acc-p)
122,yācakā,beggars (nom-p),beggar (nom-s),beggar (acc-s),beggars (acc-p)
123,sigālā,jackals (nom-p),jackal (nom-s),jackal (acc-s),jackals (acc-p)
124,rukkhā,trees (nom-p),tree (nom-s),tree (acc-s),trees (acc-p)
125,dhamme,"doctrines, truths (acc-p)","doctrines, truths (nom-p)","the doctrine, truth (acc-s)","the doctrine, truth (nom-s)"
126,bhatte,rice (acc-p),rice (nom-p),rice (acc-s),rice (nom-s)
127,odane,cooked rice (acc-p),cooked rice (nom-p),cooked rice (acc-s),cooked rice (nom-s)
128,gāme,villages (acc-p),villages (nom-p),village (acc-s),village (nom-s)
129,suriye,suns (acc-p),suns (nom-p),sun (acc-s),sun (nom-s)
130,cande,moons (acc-p),moons (nom-p),moon (acc-s),moon (nom-s)
131,kukkure,dogs (acc-p),dogs (nom-p),dog (acc-s),dog (nom-s)
132,sunakhe,dogs (acc-p),dogs (nom-p),dog (acc-s),dog (nom-s)
133,soṇe,dogs (acc-p),dogs (nom-p),dog (acc-s),dog (nom-s)
134,vihāre,monasteries (acc-p),monasteries (nom-p),monastery (acc-s),monastery (nom-s)
135,patte,bowls (acc-p),bowls (nom-p),bowl (acc-s),bowl (nom-s)
136,āvāṭe,pits (acc-p),pits (nom-p),pit (acc-s),pit (nom-s)
137,pabbate,mountains (acc-p),mountains (nom-p),mountain (acc-s),mountain (nom-s)
138,yācake,beggars (acc-p),beggars (nom-p),beggar (acc-s),beggar (nom-s)
139,sigāle,jackals (acc-p),jackals (nom-p),jackal (acc-s),jackal (nom-s)
140,rukkhe,trees (acc-p),trees (nom-p),tree (acc-s),tree (nom-s)
