_id,question,answer,incorrect1,incorrect2,incorrect3
82,Vānaro dhīvarassa piṭakasmā macchaṃ ākaḍḍhati.,The monkey pulls a fish from the fisherman's basket.,The pig pulls a fish from the fisherman's basket.,The monkey pulls a fish from the merchant's basket.,The pig pulls a fish from the merchant's basket.
83,Suriyassa āloko lokamhi asappurisesu patati.,The light of the sun falls on the wicked men in the world.,The light of the sun falls on the men in the world.,The light of the sun falls on the virtuous men in the world.,The light of the sun falls on the children in the world.
84,Kākā ākāsena gacchanti.,Crows go through the sky.,Deities go through the sky.,Birds go through the sky.,Parrots go through the sky.
85,Sigālā kukkurena saddhiṃ maggasmiṃ kīḷanti.,Jackals play with the dog on the road.,Children play with the dog on the road.,Jackals play with the dog on the mountain.,Children play with the dog on the mountain.
86,Sappuriso rukkhamhā makkaṭaṃ ākaḍḍhati.,The virtuous man drags a monkey from the tree.,The wicked man drags a monkey from the tree.,The virtuous man drags a parrot from the tree.,The wicked man drags a parrot from the tree.
87,Mātulassa dūto assasmā oruhati.,The uncle's messenger gets down from the horse.,The king's messenger gets down from the horse.,The uncle's messengers get down from the horses.,The king's messengers get down from the horses.
88,nāviko,sailor (nom-s),crow (nom-s),wicked man (nom-s),messenger (nom-s)
89,ākāso,sky (nom-s),house (nom-s),body (nom-s),"ox, bull (nom-s)"
90,samuddo,"ocean, sea (nom-s)",virtuous man (nom-s),messenger (nom-s),wicked man (nom-s)
91,devo,"deity, god (nom-s)",wicked man (nom-s),"ox, bull (nom-s)",body (nom-s)
92,suro,"deity, god (nom-s)",body (nom-s),crow (nom-s),house (nom-s)
93,loko,world (nom-s),messenger (nom-s),house (nom-s),"ox, bull (nom-s)"
94,āloko,light (nom-s),"ox, bull (nom-s)",virtuous man (nom-s),crow (nom-s)
95,sakuṇo,bird (nom-s),sailor (nom-s),"deity, god (nom-s)",light (nom-s)
96,kāko,crow (nom-s),sky (nom-s),world (nom-s),bird (nom-s)
97,nivāso,house (nom-s),"ocean, sea (nom-s)",light (nom-s),"deity, god (nom-s)"
98,sappuriso,virtuous man (nom-s),"deity, god (nom-s)",bird (nom-s),world (nom-s)
99,asappuriso,wicked man (nom-s),"deity, god (nom-s)",sailor (nom-s),"ocean, sea (nom-s)"
100,kāyo,body (nom-s),world (nom-s),sky (nom-s),"deity, god (nom-s)"
101,dūto,messenger (nom-s),light (nom-s),"ocean, sea (nom-s)",sailor (nom-s)
102,goṇo,"ox, bull (nom-s)",bird (nom-s),"deity, god (nom-s)",sky (nom-s)
103,nāvike,at the sailor (loc-s),in the crow (loc-s),at the wicked man (loc-s),at the messenger (loc-s)
104,ākāse,in the sky (loc-s),in the house (loc-s),on the body (loc-s),"at the ox, bull (loc-s)"
105,samudde,"in the ocean, sea (loc-s)",at the virtuous man (loc-s),at the messenger (loc-s),at the wicked man (loc-s)
106,deve,"at the deity, god (loc-s)",at the wicked man (loc-s),"at the ox, bull (loc-s)",on the body (loc-s)
107,sure,"at the deity, god (loc-s)",on the body (loc-s),at the crow (loc-s),in the house (loc-s)
108,loke,in the world (loc-s),at the messenger (loc-s),in the house (loc-s),"at the ox, bull (loc-s)"
109,āloke,in the light (loc-s),"at the ox, bull (loc-s)",at the virtuous man (loc-s),at the crow (loc-s)
110,sakuṇe,at the bird (loc-s),at the sailor (loc-s),"at the deity, god (loc-s)",in the light (loc-s)
111,kāke,at the crow (loc-s),in the sky (loc-s),in the world (loc-s),at the bird (loc-s)
112,nivāse,in the house (loc-s),"in the ocean, sea (loc-s)",at the light (loc-s),"at the deity, god (loc-s)"
113,sappurise,on the virtuous man (loc-s),"at the deity, god (loc-s)",at the bird (loc-s),in the world (loc-s)
114,asappurise,at the wicked man (loc-s),"at the deity, god (loc-s)",at the sailor (loc-s),"in the ocean, sea (loc-s)"
115,kāye,in  the body (loc-s),in the world (loc-s),in the sky (loc-s),"at the deity, god (loc-s)"
116,dūte,at the messenger (loc-s),at the light (loc-s),"on the ocean, sea (loc-s)",at the sailor (loc-s)
117,goṇe,"on the ox, bull (loc-s)",on the bird (loc-s),"on the deity, god (loc-s)",in the sky (loc-s)
118,nāvikamhi,at the sailor (loc-s),in the crow (loc-s),at the wicked man (loc-s),at the messenger (loc-s)
119,ākāsamhi,in the sky (loc-s),in the house (loc-s),on the body (loc-s),"at the ox, bull (loc-s)"
120,samuddamhi,"in the ocean, sea (loc-s)",at the virtuous man (loc-s),at the messenger (loc-s),at the wicked man (loc-s)
121,devamhi,"at the deity, god (loc-s)",at the wicked man (loc-s),"at the ox, bull (loc-s)",on the body (loc-s)
122,suramhi,"at the deity, god (loc-s)",on the body (loc-s),at the crow (loc-s),in the house (loc-s)
123,lokamhi,in the world (loc-s),at the messenger (loc-s),in the house (loc-s),"at the ox, bull (loc-s)"
124,ālokamhi,in the light (loc-s),"at the ox, bull (loc-s)",at the virtuous man (loc-s),at the crow (loc-s)
125,sakuṇamhi,at the bird (loc-s),at the sailor (loc-s),"at the deity, god (loc-s)",in the light (loc-s)
167,kākamhi,at the crow (loc-s),in the sky (loc-s),in the world (loc-s),at the bird (loc-s)
127,nivāsamhi,in the house (loc-s),"in the ocean, sea (loc-s)",at the light (loc-s),"at the deity, god (loc-s)"
128,sappurisamhi,on the virtuous man (loc-s),"at the deity, god (loc-s)",at the bird (loc-s),in the world (loc-s)
129,asappurisamhi,at the wicked man (loc-s),"at the deity, god (loc-s)",at the sailor (loc-s),"in the ocean, sea (loc-s)"
130,kāyamhi,in  the body (loc-s),in the world (loc-s),in the sky (loc-s),"at the deity, god (loc-s)"
131,dūtamhi,at the messenger (loc-s),at the light (loc-s),"on the ocean, sea (loc-s)",at the sailor (loc-s)
132,goṇamhi,"on the ox, bull (loc-s)",on the bird (loc-s),"on the deity, god (loc-s)",in the sky (loc-s)
133,nāvikasmiṃ,at the sailor (loc-s),in the crow (loc-s),at the wicked man (loc-s),at the messenger (loc-s)
134,ākāsasmiṃ,in the sky (loc-s),in the house (loc-s),on the body (loc-s),"at the ox, bull (loc-s)"
135,samuddasmiṃ,"in the ocean, sea (loc-s)",at the virtuous man (loc-s),at the messenger (loc-s),at the wicked man (loc-s)
136,devasmiṃ,"at the deity, god (loc-s)",at the wicked man (loc-s),"at the ox, bull (loc-s)",on the body (loc-s)
137,surasmiṃ,"at the deity, god (loc-s)",on the body (loc-s),at the crow (loc-s),in the house (loc-s)
138,lokasmiṃ,in the world (loc-s),at the messenger (loc-s),in the house (loc-s),"at the ox, bull (loc-s)"
139,ālokasmiṃ,in the light (loc-s),"at the ox, bull (loc-s)",at the virtuous man (loc-s),at the crow (loc-s)
140,sakuṇasmiṃ,at the bird (loc-s),at the sailor (loc-s),"at the deity, god (loc-s)",in the light (loc-s)
141,kākasmiṃ,at the crow (loc-s),in the sky (loc-s),in the world (loc-s),at the bird (loc-s)
142,nivāsasmiṃ,in the house (loc-s),"in the ocean, sea (loc-s)",at the light (loc-s),"at the deity, god (loc-s)"
143,sappurisasmiṃ,on the virtuous man (loc-s),"at the deity, god (loc-s)",at the bird (loc-s),in the world (loc-s)
144,asappurisasmiṃ,at the wicked man (loc-s),"at the deity, god (loc-s)",at the sailor (loc-s),"in the ocean, sea (loc-s)"
145,kāyasmiṃ,in  the body (loc-s),in the world (loc-s),in the sky (loc-s),"at the deity, god (loc-s)"
146,dūtasmiṃ,at the messenger (loc-s),at the light (loc-s),"on the ocean, sea (loc-s)",at the sailor (loc-s)
147,goṇasmiṃ,"on the ox, bull (loc-s)",on the bird (loc-s),"on the deity, god (loc-s)",in the sky (loc-s)
148,nāvikesu,at the sailors (loc-p),in the crows (loc-p),at the wicked men (loc-p),at the messengers (loc-p)
149,ākāsesu,in the skies (loc-p),in the houses (loc-p),on the bodies (loc-p),"at the oxen, bulls (loc-p)"
150,samuddesu,"in the oceans, seas (loc-p)",at the virtuous men (loc-p),at the messengers (loc-p),at the wicked men (loc-p)
151,devesu,"at the deities, gods (loc-p)",at the wicked men (loc-p),"at the oxen, bulls (loc-p)",on the bodies (loc-p)
152,suresu,"at the deities, gods (loc-p)",on the bodies (loc-p),at the crows (loc-p),in the houses (loc-p)
153,lokesu,in the worlds (loc-p),at the messengers (loc-p),in the houses (loc-p),"at the oxen, bulls (loc-p)"
154,ālokesu,in the lights (loc-p),"at the oxen, bulls (loc-p)",at the virtuous men (loc-p),at the crows (loc-p)
155,sakuṇesu,at the birds (loc-p),at the sailors (loc-p),"at the deitys, gods (loc-p)",in the lights (loc-p)
156,kākesu,at the crows (loc-p),in the skies (loc-p),in the worlds (loc-p),at the birds (loc-p)
157,nivāsesu,in the houses (loc-p),"in the oceans, seas (loc-p)",at the lights (loc-p),at the deities gods (loc-p)
158,sappurisesu,on the virtuous men (loc-p),"at the deities, gods (loc-p)",at the birds (loc-p),in the worlds (loc-p)
159,asappurisesu,at the wicked men (loc-p),"at the deities, gods (loc-p)",at the sailors (loc-p),"in the oceans, seas (loc-p)"
160,kāyesu,in  the bodies (loc-p),in the worlds (loc-p),in the skies (loc-p),"at the deities, gods (loc-p)"
161,dūtesu,at the messengers (loc-p),at the lights (loc-p),"on the oceans, seas (loc-p)",at the sailors (loc-p)
163,goṇesu,"on the oxen, bulls (loc-p)",on the birds (loc-p),"on the deities, gods (loc-p)",in the skies (loc-p)
