_id,question,answer,incorrect1,incorrect2,incorrect3
36,heap,rāsi,atithi,kavi,bhūpati
37,hand,pāṇi,vyādhi,ari,pati
38,belly,kucchi,udadhi,bhūpati,muni / isi
39,"fist, hammer",muṭṭhi,nidhi,pati,kavi
40,householder (nom-s),gahapati,gahapatī / gahapatayo,gahapatinā / gahapatimhā / gahapatismā,gahapatīhi (gahapatībhi)
41,O householder,gahapati,gahapatī / gahapatayo,gahapatino / gahapatissa,gahapatīnaṃ
42,householder (acc-s),gahapatiṃ,gahapatī / gahapatayo,gahapatino / gahapatissa,gahapatīnaṃ
43,by means of the householder,gahapatinā,gahapatīhi (gahapatībhi),gahapatimhi / gahapatismiṃ,gahapatīsu
44,from the householder,gahapatinā / gahapatimhā / gahapatismā,gahapatīhi (gahapatībhi),gahapati,gahapatī / gahapatayo
45,for the householder,gahapatino / gahapatissa,gahapatīnaṃ,gahapati,gahapatī / gahapatayo
46,of the householder,gahapatino / gahapatissa,gahapatīnaṃ,gahapatiṃ,gahapatī / gahapatayo
47,on the householder,gahapatimhi / gahapatismiṃ,gahapatīsu,gahapatinā,gahapatīhi (gahapatībhi)
48,householders (nom-p),gahapatī / gahapatayo,gahapati,gahapatīhi (gahapatībhi),gahapatinā / gahapatimhā / gahapatismā
49,O householders,gahapatī / gahapatayo,gahapati,gahapatīnaṃ,gahapatino / gahapatissa
50,householders (acc-p),gahapatī / gahapatayo,gahapatiṃ,gahapatīnaṃ,gahapatino / gahapatissa
51,by means of the householders,gahapatīhi (gahapatībhi),gahapatinā,gahapatīsu,gahapatimhi / gahapatismiṃ
52,from the householders,gahapatīhi (gahapatībhi),gahapatinā / gahapatimhā / gahapatismā,gahapatī / gahapatayo,gahapati
53,for the householders,gahapatīnaṃ,gahapatino / gahapatissa,gahapatī / gahapatayo,gahapati
54,of the householders,gahapatīnaṃ,gahapatino / gahapatissa,gahapatī / gahapatayo,gahapatiṃ
55,on the householders,gahapatīsu,gahapatimhi / gahapatismiṃ,gahapatīhi (gahapatībhi),gahapatinā
56,sun (nom-s),ravi,ravī / ravayo,ravinā / ravimhā / ravismā,ravīhi (ravībhi)
57,O sun,ravi,ravī / ravayo,ravino / ravissa,ravīnaṃ
58,sun (acc-s),raviṃ,ravī / ravayo,ravino / ravissa,ravīnaṃ
59,by means of the sun,ravinā,ravīhi (ravībhi),ravimhi / ravismiṃ,ravīsu
60,from the sun,ravinā / ravimhā / ravismā,ravīhi (ravībhi),ravi,ravī / ravayo
61,for the sun,ravino / ravissa,ravīnaṃ,ravi,ravī / ravayo
62,of the sun,ravino / ravissa,ravīnaṃ,raviṃ,ravī / ravayo
63,on the sun,ravimhi / ravismiṃ,ravīsu,ravinā,ravīhi (ravībhi)
64,suns (nom-p),ravī / ravayo,ravi,ravīhi (ravībhi),ravinā / ravimhā / ravismā
65,O suns,ravī / ravayo,ravi,ravīnaṃ,ravino / ravissa
66,suns (acc-p),ravī / ravayo,raviṃ,ravīnaṃ,ravino / ravissa
67,by means of the suns,ravīhi (ravībhi),ravinā,ravīsu,ravimhi / ravismiṃ
68,from the suns,ravīhi (ravībhi),ravinā / ravimhā / ravismā,ravī / ravayo,ravi
69,for the suns,ravīnaṃ,ravino / ravissa,ravī / ravayo,ravi
70,of the suns,ravīnaṃ,ravino / ravissa,ravī / ravayo,raviṃ
71,on the suns,ravīsu,ravimhi / ravismiṃ,ravīhi (ravībhi),ravinā
