_id,question,answer,incorrect1,incorrect2,incorrect3
46,sure,"at the deity, god (loc-s)",on the body (loc-s),at the crow (loc-s),in the house (loc-s)
47,loke,in the world (loc-s),at the messenger (loc-s),in the house (loc-s),"at the ox, bull (loc-s)"
48,āloke,in the light (loc-s),"at the ox, bull (loc-s)",at the virtuous man (loc-s),at the crow (loc-s)
49,sakuṇe,at the bird (loc-s),at the sailor (loc-s),"at the deity, god (loc-s)",in the light (loc-s)
50,kāke,at the crow (loc-s),in the sky (loc-s),in the world (loc-s),at the bird (loc-s)
51,nivāse,in the house (loc-s),"in the ocean, sea (loc-s)",at the light (loc-s),"at the deity, god (loc-s)"
52,lokamhi,in the world (loc-s),at the messenger (loc-s),in the house (loc-s),"at the ox, bull (loc-s)"
53,ālokamhi,in the light (loc-s),"at the ox, bull (loc-s)",at the virtuous man (loc-s),at the crow (loc-s)
54,sakuṇamhi,at the bird (loc-s),at the sailor (loc-s),"at the deity, god (loc-s)",in the light (loc-s)
55,kākamhi,at the crow (loc-s),in the sky (loc-s),in the world (loc-s),at the bird (loc-s)
56,nivāsamhi,in the house (loc-s),"in the ocean, sea (loc-s)",at the light (loc-s),"at the deity, god (loc-s)"
57,sappurisamhi,on the virtuous man (loc-s),"at the deity, god (loc-s)",at the bird (loc-s),in the world (loc-s)
58,asappurisamhi,at the wicked man (loc-s),"at the deity, god (loc-s)",at the sailor (loc-s),"in the ocean, sea (loc-s)"
59,kāyamhi,in  the body (loc-s),in the world (loc-s),in the sky (loc-s),"at the deity, god (loc-s)"
60,dūtamhi,at the messenger (loc-s),at the light (loc-s),"on the ocean, sea (loc-s)",at the sailor (loc-s)
61,goṇamhi,"on the ox, bull (loc-s)",on the bird (loc-s),"on the deity, god (loc-s)",in the sky (loc-s)
62,nāvikasmiṃ,at the sailor (loc-s),in the crow (loc-s),at the wicked man (loc-s),at the messenger (loc-s)
63,ākāsasmiṃ,in the sky (loc-s),in the house (loc-s),on the body (loc-s),"at the ox, bull (loc-s)"
64,samuddasmiṃ,"in the ocean, sea (loc-s)",at the virtuous man (loc-s),at the messenger (loc-s),at the wicked man (loc-s)
65,devasmiṃ,"at the deity, god (loc-s)",at the wicked man (loc-s),"at the ox, bull (loc-s)",on the body (loc-s)
66,surasmiṃ,"at the deity, god (loc-s)",on the body (loc-s),at the crow (loc-s),in the house (loc-s)
67,sappurisasmiṃ,on the virtuous man (loc-s),"at the deity, god (loc-s)",at the bird (loc-s),in the world (loc-s)
68,asappurisasmiṃ,at the wicked man (loc-s),"at the deity, god (loc-s)",at the sailor (loc-s),"in the ocean, sea (loc-s)"
69,kāyasmiṃ,in  the body (loc-s),in the world (loc-s),in the sky (loc-s),"at the deity, god (loc-s)"
70,dūtasmiṃ,at the messenger (loc-s),at the light (loc-s),"on the ocean, sea (loc-s)",at the sailor (loc-s)
71,goṇasmiṃ,"on the ox, bull (loc-s)",on the bird (loc-s),"on the deity, god (loc-s)",in the sky (loc-s)
72,nāvikesu,at the sailors (loc-p),in the crows (loc-p),at the wicked men (loc-p),at the messengers (loc-p)
73,ākāsesu,in the skies (loc-p),in the houses (loc-p),on the bodies (loc-p),"at the oxen, bulls (loc-p)"
74,samuddesu,"in the oceans, seas (loc-p)",at the virtuous men (loc-p),at the messengers (loc-p),at the wicked men (loc-p)
75,devesu,"at the deities, gods (loc-p)",at the wicked men (loc-p),"at the oxen, bulls (loc-p)",on the bodies (loc-p)
76,suresu,"at the deities, gods (loc-p)",on the bodies (loc-p),at the crows (loc-p),in the houses (loc-p)
77,lokesu,in the worlds (loc-p),at the messengers (loc-p),in the houses (loc-p),"at the oxen, bulls (loc-p)"
78,ālokesu,in the lights (loc-p),"at the oxen, bulls (loc-p)",at the virtuous men (loc-p),at the crows (loc-p)
79,sakuṇesu,at the birds (loc-p),at the sailors (loc-p),"at the deitys, gods (loc-p)",in the lights (loc-p)
80,kākesu,at the crows (loc-p),in the skies (loc-p),in the worlds (loc-p),at the birds (loc-p)
81,nivāsesu,in the houses (loc-p),"in the oceans, seas (loc-p)",at the lights (loc-p),at the deities gods (loc-p)
