_id,question,answer,incorrect1,incorrect2,incorrect3
25,nourishing... (nom-p),ojavantāni,"ojavā, ojavanto",ojavantehi (ojavantebhi),"ojavatā, ojavantamhā, ojavantasmā"
26,O nourishing... (voc-p),"ojavanto, ojavantā","ojavā, ojava, ojavanta","ojavataṃ, ojavantānaṃ","ojavato, ojavantassa"
27,nourishing... (acc-p) ,ojavantāni,ojavantaṃ,"ojavataṃ, ojavantānaṃ","ojavato, ojavantassa"
28,by means of the nourishing... (ins-p),ojavantehi (ojavantebhi),"ojavatā, ojavantena",ojavantesu,"ojavati, ojavante, ojavantamhi, ojavantasmiṃ"
29,from the nourishing... (abl-p),ojavantehi (ojavantebhi),"ojavatā, ojavantamhā, ojavantasmā","ojavanto, ojavantā","ojavā, ojavanto"
30,for the nourishing... (dat-p),"ojavataṃ, ojavantānaṃ","ojavato, ojavantassa","ojavanto, ojavantā","ojavā, ojava, ojavanta"
31,of the nourishing... (gen-p),"ojavataṃ, ojavantānaṃ","ojavato, ojavantassa","ojavanto, ojavante",ojavantaṃ
32,on the nourishing... (loc-p),ojavantesu,"ojavati, ojavante, ojavantamhi, ojavantasmiṃ",ojavantehi (ojavantebhi),"ojavatā, ojavantena"
33,rich,dhanavantu,balavantu,sotavantu,himavantu
34,"the Fortunate one, the Buddha",Bhagavantu,paññavantu,sīlavantu,vaṇṇavantu
35,famous,yasavantu,puññavantu,saddhāvantu,bhānumantu
36,of good family,kulavantu,phalavantu,satimantu,buddhimantu
37,"attentive, having ears",sotavantu,himavantu,cakkhumantu,bandhumantu
38,virtuous,sīlavantu,vaṇṇavantu,dhanavantu,balavantu
39,devoted,saddhāvantu,bhānumantu,Bhagavantu,paññavantu
40,mindful,satimantu,buddhimantu,yasavantu,puññavantu
41,having eyes,cakkhumantu,bandhumantu,kulavantu,phalavantu
42,powerful,balavantu,dhanavantu,himavantu,sotavantu
43,wise,paññavantu,Bhagavantu,vaṇṇavantu,sīlavantu
44,"fortunate, meritorious",puññavantu,yasavantu,bhānumantu,saddhāvantu
45,fruitful,phalavantu,kulavantu,buddhimantu,satimantu
46,"Himalayas, possessor of snow",himavantu,sotavantu,bandhumantu,cakkhumantu
47,colourful,vaṇṇavantu,sīlavantu,balavantu,dhanavantu
48,"sun, radiant",bhānumantu,saddhāvantu,paññavantu,Bhagavantu
49,intelligent,buddhimantu,satimantu,puññavantu,yasavantu
50,having relations,bandhumantu,cakkhumantu,phalavantu,kulavantu
51,mindful... (nom-s),"satimā, satimanto","satimanto, satimantā","satimatā, satimantamhā, satimantasmā",satimantehi (satimantebhi)
52,O mindful... (voc-s),"satimā, satima, satimanta","satimanto, satimantā","satimato, satimantassa","satimataṃ, satimantānaṃ"
53,mindful... (acc-s) ,satimantaṃ,"satimanto, satimante","satimato, satimantassa","satimataṃ, satimantānaṃ"
54,by means of the mindful... (ins-s),"satimatā, satimantena",satimantehi (satimantebhi),"satimati, satimante, satimantamhi, satimantasmiṃ",satimantesu
55,from the mindful... (abl-s),"satimatā, satimantamhā, satimantasmā",satimantehi (satimantebhi),"satimā, satimanto","satimanto, satimantā"
56,for the mindful... (dat-s),"satimato, satimantassa","satimataṃ, satimantānaṃ","satimā, satima, satimanta","satimanto, satimantā"
57,of the mindful... (gen-s),"satimato, satimantassa","satimataṃ, satimantānaṃ",satimantaṃ,"satimanto, satimante"
58,on the mindful... (loc-s),"satimati, satimante, satimantamhi, satimantasmiṃ",satimantesu,"satimatā, satimantena",satimantehi (satimantebhi)
59,mindful... (nom-p),"satimanto, satimantā","satimā, satimanto",satimantehi (satimantebhi),"satimatā, satimantamhā, satimantasmā"
60,O mindful... (voc-p),"satimanto, satimantā","satimā, satima, satimanta","satimataṃ, satimantānaṃ","satimato, satimantassa"
61,mindful... (acc-p) ,"satimanto, satimante",satimantaṃ,"satimataṃ, satimantānaṃ","satimato, satimantassa"
62,by means of the mindful... (ins-p),satimantehi (satimantebhi),"satimatā, satimantena",satimantesu,"satimati, satimante, satimantamhi, satimantasmiṃ"
63,from the mindful... (abl-p),satimantehi (satimantebhi),"satimatā, satimantamhā, satimantasmā","satimanto, satimantā","satimā, satimanto"
64,for the mindful... (dat-p),"satimataṃ, satimantānaṃ","satimato, satimantassa","satimanto, satimantā","satimā, satima, satimanta"
65,of the mindful... (gen-p),"satimataṃ, satimantānaṃ","satimato, satimantassa","satimanto, satimante",satimantaṃ
66,on the mindful... (loc-p),satimantesu,"satimati, satimante, satimantamhi, satimantasmiṃ",satimantehi (satimantebhi),"satimatā, satimantena"
