_id,question,answer,incorrect1,incorrect2,incorrect3
85,katheti,he speaks,he brings,he gives,"he rules, governs"
86,uḍḍeti,he flies,he keeps,he looks at,he kills
87,udeti,he (sun or moon) rises,he fells,he kindles,"he leads, takes away"
88,ropeti,he plants,"he rules, governs",he covers,he brings
89,manteti,"he discusses, takes counsel",he avoids,he kills,he looks at
90,āmanteti,he addresses,he illuminates,"he leads, takes away",he kindles
91,nimanteti,he invites,he gives,he brings,he covers
92,oloketi,he looks at,he preaches,he flies,"he discusses, takes counsel"
93,jāleti,he kindles,he covers,he (sun or moon) rises,he addresses
94,chādeti,he covers,"he honours, offers",he plants,he invites
95,māreti,he kills,he fills,"he discusses, takes counsel",he flies
96,neti,"he leads, takes away",he oppresses,he addresses,he (sun or moon) rises
97,āneti,he brings,he speaks,he invites,he plants
98,ṭhapeti,he keeps,he flies,he preaches,he fills
99,pāteti,he fells,he (sun or moon) rises,he covers,he oppresses
100,pāleti,"he rules, governs",he plants,"he honours, offers",he speaks
101,parivajjeti,he avoids,"he discusses, takes counsel",he fills,he preaches
102,obhāseti,he illuminates,he addresses,he oppresses,he covers
103,deti,he gives,he invites,he speaks,"he honours, offers"
104,dadāti,he gives,he invites,he speaks,"he honours, offers"
105,sakkoti,"can, is able","salutes, worships",prevents,experiences joy
106,parivāreti,"accompanies, surrounds","brings up, nourishes","follows, chases after","puts, places, deposits"
107,nivāreti,prevents,tries,gets angry,prepares
108,anubandhati,"follows, chases after",hides,experiences suffering,prevents
109,kujjhati,gets angry,engages in conversation,experiences joy,"follows, chases after"
110,namassati,"salutes, worships","is happy, enjoys","puts, places, deposits",gets angry
111,poseti,"brings up, nourishes","can, is able",prepares,experiences suffering
112,vāyamati,tries,"accompanies, surrounds","salutes, worships",engages in conversation
113,nilīyati,hides,prevents,"brings up, nourishes","is happy, enjoys"
114,sallapati,engages in conversation,"follows, chases after",tries,"can, is able"
115,modati,"is happy, enjoys",gets angry,hides,"accompanies, surrounds"
116,sukhaṃ vindati,experiences joy,experiences suffering,engages in conversation,"salutes, worships"
117,dukkhaṃ vindati,experiences suffering,experiences joy,"is happy, enjoys","brings up, nourishes"
118,paṭiyādeti,prepares,"puts, places, deposits","can, is able",tries
119,pakkhipati,"puts, places, deposits",prepares,"accompanies, surrounds",hides
120,vyākaroti,explains,takes out,conceals,wraps
121,pattheti,aspires,sends,wraps,harasses
122,vissajjeti,spends,conceals,harasses,sends
123,āroceti,informs,wraps,takes out,sends
124,muñcati,releases,harasses,sends,takes out
125,nīhareti,takes out,explains,informs,releases
126,peseti,sends,aspires,releases,informs
127,paṭiccādeti,conceals,spends,explains,wraps
128,veṭheti,wraps,informs,aspires,explains
129,viheṭheti,harasses,releases,spends,aspires
130,thaketi,"shuts, closes","divides, distributes",harms,throws
131,nāseti,destroys,breaks,throws,spreads
132,sammajjati,sweeps,"builds, creates",spreads,harms
133,obhāseti,illuminates,harms,"divides, distributes",breaks
134,bhajati,keeps company,throws,breaks,"builds, creates"
135,bandhati,ties,spreads,"builds, creates","divides, distributes"
136,vibhajati,"divides, distributes","shuts, closes",illuminates,keeps company
137,bhañjati,breaks,destroys,keeps company,ties
138,māpeti,"builds, creates",sweeps,ties,illuminates
139,vihiṃsati,harms,illuminates,"shuts, closes",destroys
140,chaḍḍeti,throws,keeps company,destroys,sweeps
141,pattharati,spreads,ties,sweeps,"shuts, closes"
142,anukampati,feels compassionate,follows,"renounces, becomes ordained",sets in motion
143,vāceti,teaches,"aspires, hopes","scatters, (pp. vippakiṇṇa)",sheds tears
144,sammisseti,mixes,"fulfils, succeeds",defeats,"distributes, analyses"
145,pabbajati,"renounces, becomes ordained",sets in motion,feels compassionate,follows
146,vippakirati,"scatters, (pp. vippakiṇṇa)",sheds tears,teaches,"aspires, hopes"
147,parājeti,defeats,"distributes, analyses",mixes,"fulfils, succeeds"
148,anugacchati,follows,feels compassionate,sets in motion,"renounces, becomes ordained"
149,pattheti,"aspires, hopes",teaches,sheds tears,"scatters, (pp. vippakiṇṇa)"
150,samijjhati,"fulfils, succeeds",mixes,"distributes, analyses",defeats
151,pavatteti,sets in motion,"renounces, becomes ordained",follows,feels compassionate
152,(assūni) pavatteti,sheds tears,"scatters, (pp. vippakiṇṇa)","aspires, hopes",teaches
153,vibhajati,"distributes, analyses",defeats,"fulfils, succeeds",mixes
